number,label,train,habitat_1_mean,habitat_1_std,habitat_1_area,habitat_1_contrast,habitat_1_dissimilarity,habitat_1_homogeneity,habitat_1_ASM,habitat_1_correlation,habitat_2_mean,habitat_2_std,habitat_2_area,habitat_2_contrast,habitat_2_dissimilarity,habitat_2_homogeneity,habitat_2_ASM,habitat_2_correlation,habitat_3_mean,habitat_3_std,habitat_3_area,habitat_3_contrast,habitat_3_dissimilarity,habitat_3_homogeneity,habitat_3_ASM,habitat_3_correlation
47,1,0,0.1192002296447750,0.0250582695007324,34465,49.45610614346430,5.070772464849880,0.2193512116726590,0.0028507363831727,0.3581393274051950,0.2303475886583330,0.0461643412709236,11042,113.15189333746800,7.18406263323127,0.1531102706529480,0.0015315635625692,0.5722903025713680,0.4966784417629240,0.1161900386214260,1585,76.29470672389130,6.7811158798283300,0.1269100610590130,0.0008488521308797,0.9556297847729490
48,1,0,0.372178167104721,0.0446797721087932,5372,19.794105263157900,3.482947368421050,0.226073122640685,0.001838515235457,0.9186158375868850,0.5192618370056150,0.0527689009904861,4250,44.200418702023700,5.22205163991626,0.1604636142974560,0.0013759021840389,0.8580635771939610,0.7508962154388430,0.0883196219801902,2422,79.2158902813904,6.906597304327260,0.1238103337998250,0.0007795043747802,0.9196306234644700
49,1,0,0.1507216989994050,0.0122290113940835,11811,2.023924601256650,0.9407926534557760,0.622016175101308,0.0302621645427063,0.8875563941665470,0.2031462788581850,0.0188435669988393,9568,6.4532981530343,1.9126649076517100,0.3883245089860690,0.0097441973391998,0.8396490009524110,0.2829459309577940,0.0494687743484973,2737,16.945310681871100,3.1207819408889900,0.2627496544134310,0.0053460725016706,0.9489749088407330
50,1,0,0.1502405107021330,0.0392178744077682,4635,10.73753411064250,2.47953361448772,0.3107300163585020,0.0029937298760209,0.9420832651212860,0.2853671014308930,0.0433242954313755,4339,31.38113816763080,4.299206242432400,0.1978080232364230,0.0018247227589742,0.8515989000388220,0.4698039293289180,0.0819490030407905,1495,74.30543435144780,6.676715589051960,0.1191403088653120,0.0011629405418129,0.9163334851365900
51,1,0,0.1805565953254700,0.0422837026417255,13548,46.883730910911600,4.182969135581700,0.2622847133555250,0.0019929369170533,0.7873957824088390,0.3325046896934510,0.055002674460411,7463,68.13838707478360,5.494171381825620,0.1786807228772230,0.0013228626300617,0.8075721477726890,0.5947006940841680,0.0988565385341644,1574,36.598907103825100,4.617850637522770,0.178196510978276,0.0011258091379922,0.9702693102951130
52,1,0,0.1649373322725300,0.0489159673452377,32194,190.17856474550900,9.875639346307390,0.1332878287731990,0.0007899290430569,0.3758596452993730,0.3308858871459960,0.0585809163749218,19670,204.1220372255340,10.44812418205610,0.0983295819200424,0.0006437364823122,0.499168590673408,0.5906494855880740,0.1002765446901320,8265,612.2621136805710,16.10425761832720,0.0754492799476161,0.0003127731165522,0.5161743428932220
53,1,0,0.3377695381641390,0.0425539463758468,25406,117.78876004065000,7.548675399885850,0.1617900071528050,0.0010883032726486,0.4851003079822680,0.4669422507286070,0.0419154614210128,27750,66.99994522648850,5.947490460280080,0.1555894184878170,0.0013329261186613,0.6689023049582550,0.6446845531463620,0.0855336487293243,8630,103.94030261348000,7.188995873452540,0.1283838449073400,0.0008610407375943,0.8917029731054640
54,1,0,0.1159376129508020,0.0181006509810686,16469,18.9256453997498,3.041737745934270,0.3214292672859150,0.0061358646418712,0.540919019085517,0.1931227594614030,0.0296465773135423,5546,19.815082644628100,3.2163223140495900,0.2623062034846110,0.0043159406802814,0.8061543171862460,0.333266019821167,0.0571319125592708,1340,105.65178965974400,6.496685815289440,0.1485482268797840,0.00174745258358,0.765269219247588
55,2,0,0.0658997371792793,0.0270087458193302,24048,48.082298259807400,5.002553974523710,0.1942446750201510,0.0024674789758823,0.468990416818764,0.1479602307081220,0.0248063001781702,21048,46.2674428900301,5.377855498494780,0.1558488958934210,0.0025121215698056,0.3649639063845940,0.2391257286071780,0.042936872690916,9545,54.46344591705860,5.11366273743358,0.1692821523718990,0.0022503057342555,0.785546407232768
56,2,0,0.0218931082636117,0.0166875459253788,16503,22.796029422802700,3.5332507693462400,0.2788948323574740,0.0080091153339176,0.3240973677225570,0.0830319598317146,0.0198827292770147,11626,25.733172233698400,3.876369022099230,0.219755323528867,0.0046018888793298,0.4483396086191000,0.1646180748939510,0.0371716506779193,4600,27.385190725504900,4.032410870107210,0.2032067195157080,0.0030502629859633,0.8487714376097760
